fullvisitorid,channelgrouping,time,country,city,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,totaltransactionrevenue
4375541924120181729,Referral,16758,Czechia,no data available in demo dataset,0,17,2,0,2017-04-24,1493021237,PAGE,0,0,0,9181573,Google Snapback Hat Black,no data,no data,USD,0,no data,The Google Merchandise Store/22 oz Android Bottle,/google+redesign/,0,1,no data,0
9946095867493665390,Organic Search,37513,United States,no data available in demo dataset,0,54,5,0,2016-12-09,1481340357,PAGE,0,18990000,0,GGOEGAAX0291,Google Women's Short Sleeve Hero Tee Sky Blue,no data,no data,USD,0,no data,Store search results,/asearch.html,0,1,no data,0
1886560331693690565,Organic Search,0,United States,no data available in demo dataset,0,0,1,0,2017-04-20,1492744644,PAGE,0,4990000,0,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
9580376195947100858,Direct,0,India,no data available in demo dataset,0,0,1,0,2017-01-08,1483945300,PAGE,0,21990000,0,GGOEYHPA003510,YouTube Trucker Hat,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
0972604507813539148,Organic Search,51474,United States,no data available in demo dataset,0,51,4,0,2016-10-09,1476055692,PAGE,0,1990000,0,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Home/Electronics/,no data,USD,0,no data,Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
2267904312357484573,Organic Search,198693,United States,no data available in demo dataset,0,199,3,0,2017-04-21,1492801501,PAGE,0,1500000,0,GGOEGODR017799,Recycled Mouse Pad,Home/Electronics/Electronics Accessories/,no data,USD,0,no data,Accessories | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
3663508111937889551,Organic Search,0,United Kingdom,no data available in demo dataset,0,75,4,0,2017-01-26,1485445569,PAGE,0,8990000,0,GGOEYOBR078599,YouTube Luggage Tag,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
5169218282734681516,Organic Search,16243,United States,no data available in demo dataset,0,33,5,0,2016-11-18,1479497611,PAGE,0,16990000,0,GGOEGAAX0279,Google Women's Short Sleeve Hero Tee White,Home/Apparel/,no data,USD,0,no data,Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8484725397488344208,Direct,52462,United States,no data available in demo dataset,0,181,3,0,2017-06-08,1496965233,PAGE,0,29990000,0,GGOEGAAX0351,YouTube Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
5507851936577819925,Referral,8666,United States,San Francisco,0,17,4,0,2016-11-16,1479339641,PAGE,0,199000000,0,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Home/Nest/Nest-USA/,no data,no data,0,no data,Nest-USA,/google+redesign/,2,1,no data,0
2272542366800433514,Organic Search,154676,United States,New York,0,193,6,0,2016-08-18,1471532866,PAGE,0,16990000,0,GGOEGAAX0346,YouTube Men's Vintage Tee,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/google+redesign/,0,1,no data,0
2742641486650042668,Referral,241339,United States,Kirkland,0,395,18,0,2016-08-02,1470159157,PAGE,0,14390000,0,GGOEGAAX0281,Google Women's Short Sleeve Badge Tee Grey,Home/Apparel/Women's/Women's-T-Shirts/,no data,USD,0,no data,Women's-T-Shirts,/google+redesign/,0,1,no data,0
2551574846790567737,Referral,8589,United States,Sunnyvale,0,49,5,0,2017-05-22,1495473567,PAGE,0,55990000,0,GGOEGAAX0361,Android Women's Fleece Hoodie,Home/Apparel/Women's/Women's-Outerwear/,no data,USD,0,no data,Women's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
9795291451355594241,Referral,182068,United States,Los Angeles,0,193,11,0,2016-08-18,1471546034,PAGE,0,69990000,0,GGOEGAAX0593,Google Men's Airflow 1/4 Zip Pullover Lapis,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/store.html,0,1,no data,0
092470000265055631,Affiliates,56153,India,Chennai,0,121,7,0,2016-09-22,1474537748,PAGE,0,79990000,0,GGOEGEVJ023999,Compact Bluetooth Speaker,Home/Electronics/,no data,USD,0,no data,Electronics,/google+redesign/,0,1,no data,0
7520119195017354961,Direct,34437,United States,San Francisco,0,149,5,0,2017-01-18,1484800862,PAGE,0,1990000,0,GGOEGKAA019299,Switch Tone Color Crayon Pen,Home/Accessories/Fun/,no data,USD,0,no data,Fun | Accessories | Google Merchandise Store,/google+redesign/,0,1,no data,0
3670639958698222356,Direct,198328,United States,Palo Alto,0,198,4,0,2017-01-28,1485668811,PAGE,0,3990000,0,GGOEAKDH019899,Windup Android,Home/Accessories/Fun/,no data,USD,0,no data,Fun | Accessories | Google Merchandise Store,/google+redesign/,0,1,no data,0
5165576066744066826,Organic Search,50876,United States,Mountain View,0,113,9,1,2017-07-06,1499402707,PAGE,0,59990000,0,GGOEGBPB082099,UpCycled Handlebar Bag,Home/Bags/More Bags/,no data,USD,0,no data,More Bags | Bags | Google Merchandise Store,/google+redesign/,0,1,no data,0
7010111734006108267,Direct,68092,United States,Tempe,0,267,11,0,2017-05-12,1494613426,PAGE,0,19990000,0,GGOEAXXX0808,Android Men's Engineer Short Sleeve Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
6533131078602836133,Organic Search,72527,United States,Mountain View,0,170,7,0,2016-10-13,1476381020,PAGE,0,21990000,0,GGOEGHPA002910,Google Trucker Hat,Home/Apparel/Headgear/,no data,USD,0,no data,Headgear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
4380428024528664796,Direct,0,Romania,Bucharest,0,0,1,0,2016-08-03,1470225812,PAGE,0,24990000,0,GGOEGAAX0314,YouTube Men's 3/4 Sleeve Henley,Home/Apparel/,no data,USD,0,no data,Apparel,/google+redesign/,0,1,no data,0
1804381754199193405,Referral,132473,United States,Sunnyvale,0,132,9,0,2017-06-30,1498805700,PAGE,0,23990000,0,GGOEGAAX0364,Google Women's Tee Grey,Home/Apparel/Women's/Women's-T-Shirts/,no data,USD,0,no data,Women's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
4783983203083957485,Paid Search,17502,United States,San Francisco,0,18,3,0,2017-02-20,1487623860,PAGE,0,16990000,0,GGOEGAAX0107,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8545699773462647340,Organic Search,1153786,United States,Pittsburgh,0,1154,4,0,2016-08-26,1472216084,PAGE,0,8990000,0,GGOEGOAC016199,Executive Twist Ballpoint Pen,Home/Office/,no data,USD,0,no data,Office,/google+redesign/,0,1,no data,0
1029598807492239717,Organic Search,0,India,Pune,0,0,1,0,2017-05-22,1495436890,PAGE,0,16990000,0,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/,no data,USD,0,no data,Men's Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
0250449568062942593,Referral,133187,United States,Mountain View,0,210,6,0,2017-03-28,1490717154,PAGE,0,10990000,0,GGOEYHPB072210,YouTube Twill Cap,Home/Apparel/,no data,USD,0,no data,Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8746528079319940031,Organic Search,0,United States,Orlando,0,24,3,1,2017-07-05,1499288510,PAGE,0,16990000,0,GGOEGAAX0284,Women's YouTube Short Sleeve Hero Tee Black,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
2138895815504578145,Direct,7731,United States,Sunnyvale,0,33,4,0,2016-08-19,1471641254,PAGE,0,99990000,0,GGOEGBRJ037299,Google Alpine Style Backpack,Home/Bags/,no data,USD,0,no data,Bags,/google+redesign/,0,1,no data,0
5575139820538219591,Organic Search,41918,France,Paris,0,161,7,0,2016-08-25,1472129237,PAGE,0,18990000,0,GGOEGAAX0298,Google Women's V-Neck Tee Grey,Home/Apparel/Women's/Women's-T-Shirts/,no data,USD,0,no data,Women's-T-Shirts,/google+redesign/,0,1,no data,0
7989511593357423925,Direct,87178,United States,Ann Arbor,0,297,8,0,2016-11-15,1479229643,PAGE,0,79000000,0,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,Home/Nest/Nest-USA/,no data,USD,0,no data,Nest-USA,/google+redesign/,0,1,no data,0
2027496546376712813,Referral,37586,United States,Mountain View,0,108,8,0,2016-10-12,1476287079,EVENT,1,74990000,1,GGOEGAAX0604,Google Women's Quilted Insulated Vest Black,Home/Apparel/Women's/Women's-Outerwear/,no data,USD,0,no data,Women's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,3,1,no data,0
906585462668181156,Paid Search,83816,United States,New York,0,229,15,0,2017-06-07,1496874202,PAGE,0,14990000,0,GGOEGBPB021199,Google Slim Utility Travel Bag,Home/Bags/,no data,USD,0,no data,Bags | Google Merchandise Store,/google+redesign/,0,1,no data,0
